Id tin,Tiêu đề tin,Địa điểm tuyển dụng,Tỉnh thành tuyển dụng,Chức vụ,Mức lương,Hình thức làm việc,Ngành nghề,Lĩnh vực,Kinh nghiệm
784544,Nhân viên SEO,47 Đường 12 Hiệp Bình Phước Thủ Đức Thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Marketing - PR,seo leader,0 - 1 năm kinh nghiệm
784543,Nhân viên IT Helpdesk,46 An Dương - Phường Yên Phụ - Quận Tây Hồ - Thành phố Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"IT Phần cứng - mạng, Điện - Điện tử, Điện tử viễn thông",nhân viên it phần cứng,2 - 5 năm kinh nghiệm
784542,Kỹ sư Cơ điện,"Tại VP Công ty Cổ phần Him Lam - 234 Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Điện - Điện tử",nhân viên it phần cứng,0 - 1 năm kinh nghiệm
784541,KỸ SƯ KẾT CẤU THÉP XÂY DỰNG,"Tại VP Công ty Cổ phần Him Lam - 234 Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh.",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Kiến trúc - Tk nội thất, Xây dựng",nhân viên it phần cứng,1 - 2 năm kinh nghiệm
784540,Quản Lý Kinh Doanh,Đường số 14 Phường Bình An Quận 2,Hồ Chí Minh,Quản lý cấp trung,Thỏa thuận,Toàn thời gian cố định,Quản trị kinh doanh,business manager,2 - 5 năm kinh nghiệm
784539,Chuyên viên Leader Content Marketing,Phòng 0909 Tầng 9 Tòa HPC Landmark Tố Hữu-La Khê-Hà Đông-Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Marketing - PR, Biên - Phiên dịch, Ngành nghề khác",Content Marketing,1 - 2 năm kinh nghiệm
784538,Nhân viên Sales Representative nhóm hàng Rượu vang nhập khẩu các nước,3,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Công nghệ thực phẩm, Xuất - nhập khẩu, Nhân viên kinh doanh",Nhân Viên Kinh Doanh Xuất Nhập Khẩu,Không yêu cầu
784537,Frontend Developer - Upto 20mil,"Lầu 4, tòa nhà SCSC, 30 Phan Thúc Duyện, phường 4, quận Tân Bình, TP. HCM.",Hồ Chí Minh,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"IT Phần cứng - mạng, IT phần mềm",lập trình Web,1 - 2 năm kinh nghiệm
784536,Nhân viên Sales Admin,"18H Cộng Hoà, P.4, Q.Tân Bình, TPHCM.",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Hành chính - Văn phòng, Thư ký - Trợ lý, Nhân viên kinh doanh",Trợ Lý Văn Phòng,1 - 2 năm kinh nghiệm
784535,NHÂN VIÊN SALE BẤT ĐỘNG SẢN (LƯƠNG CAO),71 Nguyễn Chí Thanh,Hà Nội,Nhân viên,15 - 20 triệu,Khác,KD bất động sản,nhân viên tư vấn bất động sản,Không yêu cầu
784534,Nhân viên IT,Đường số 9 KCN Long Thành,Đồng Nai,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Hành chính - Văn phòng, Truyền thông, Tiếp thị - Quảng cáo",nhân viên kinh doanh truyền thông,1 - 2 năm kinh nghiệm
784533,nhân viên thu mua(đi làm ngay),kcn tân kim mở rộng thị trấn cần giuộc tỉnh long an,Long An,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Sản xuất - Vận hành sản xuất, Hành chính - Văn phòng",nhân viên văn phòng,Không yêu cầu
784532,Kế Toán Sản Xuất Kho,Đường số 12-Trần Não Phường Bình An Quận 2,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Kế toán - Kiểm toán,kế toán kho,2 - 5 năm kinh nghiệm
784531,Nhân Viên Kiểm Tra Chất Lượng QC Công Trình QC piping Đường ống,"353/32 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh",Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Thẩm định - Giám thẩm định - Quản lý chất lượng, Cơ khí - Chế tạo, Sản xuất - Vận hành sản xuất",nhân viên qc cơ khí,1 - 2 năm kinh nghiệm
784530,Nhân Viên Bán Hàng - Toàn Quốc,"Số 10, Đường Tân Trào, phường Tân Phú, quận 7, Tp. HCM",Hà Nội,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Việc làm bán hàng, Nhân viên kinh doanh, Thực phẩm - Đồ uống",Nhân Viên Bán Hàng,Không yêu cầu
784529,Nhân viên Hành chính Nhân sự,P902 tòa nhà Việt Úc đường Lê Hồng Phong quận Hải An TP Hải Phòng,Hải Phòng,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"Nhân sự, Hành chính - Văn phòng",nhân viên hành chính nhân sự,Không yêu cầu
784528,tuyển dụng nhân viên it Helpdesk,25-27 Đường Trung Tâm KCN Tân Tạo Tân Tạo A Bình Tân,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"IT phần mềm, IT Phần cứng - mạng, Điện tử viễn thông",kỹ sư hệ thống mạng,1 - 2 năm kinh nghiệm
784527,Cần tuyển nhân viên kinh doanh tại Pleiku,"52 Út Tịch, thành phố Pleiku, tỉnh Gia Lai",Gia Lai,Mới Tốt Nghiệp,10 - 15 triệu,Toàn thời gian cố định,"Chăm sóc khách hàng, Nhân viên kinh doanh",nhân viên kinh doanh sàn gỗ,Không yêu cầu
784526,TRƯỞNG PHÒNG CHĂM SÓC KHÁCH HÀNG(THU NHẬP 15-20 TRIỆU ),"Tầng 3 toà C hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,"Giáo dục - Đào tạo, Chăm sóc khách hàng",chuyên viên chăm sóc khách hàng,1 - 2 năm kinh nghiệm
784525,TRƯỞNG NHÓM NGHIÊN CỨU CHUYỂN GIAO CÔNG NGHỆ (DƯỢC PHẨM),"Lô Z01-02-03A, khu chế xuất Tân Thuận, Tân Thuận Đông, Quận 7",Hồ Chí Minh,Trưởng nhóm,15 - 20 triệu,Toàn thời gian cố định,"Y tế - Dược, Hóa học - Sinh học",xét nghiệm,2 - 5 năm kinh nghiệm
784524,Nhân viên Kế toán - Hành chính nhân sự,Số 3 đường 3/2 Phường 11 Quận 10,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Kế toán - Kiểm toán, Hành chính - Văn phòng, Nhân sự",Kế Toán Hành Chính,0 - 1 năm kinh nghiệm
784523,tuyển dụng nhân viên lao động phổ thông,25-27 Đường Trung Tâm KCN Tân Tạo Tân Tạo A Bình Tân,Hồ Chí Minh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Sản xuất - Vận hành sản xuất, Ngành nghề khác",công nhân cơ khí,Không yêu cầu
784522,NHÂN VIÊN DIGITAL MARKETING (FACEBOOK ADS),"Tầng 3 toà C hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Marketing - PR,Facebook,0 - 1 năm kinh nghiệm
784521,Nhân viên TTS truyền thông,"Công Ty Cổ Phần GONSA: Lô F14-2-2 và F14-2-3, đường số 22, KCN Hiệp Phước, huyện Nhà Bè, TP. HCM",Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Y tế - Dược, Marketing - PR, Truyền thông",truyền thông sự kiện,Không yêu cầu
784520,Nhân Viên Bán BĐS,06 Nguyễn Hoàng,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,nhân viên phòng kinh doanh,Không yêu cầu
784519,Trưởng Nhóm Sale Showroom,Lô 5 khu nhà liền kề mới Cầu Giấy - Đường Tôn Thất Thuyết,Hà Nội,Trưởng nhóm,10 - 15 triệu,Toàn thời gian cố định,"Dịch vụ, Lương cao, Ngành nghề khác",quản lý chất lượng dịch vụ,1 - 2 năm kinh nghiệm
784518,Kế Toán Nội Bộ,"Lô 12-12 Cụm CN TP Đẹp, KP Ông Đông, Tân Hiệp, Tân Uyên, Bình Dương",Bình Dương,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Kế toán - Kiểm toán, Hành chính - Văn phòng",kế toán nội bộ,Không yêu cầu
784517,Nhân viên kinh doanh thi công,9A Thanh Liệt Thanh Trì HN,Hà Nội,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Quản trị kinh doanh, Hành chính - Văn phòng, Nhân viên kinh doanh",nhân viên phát triển kinh doanh,0 - 1 năm kinh nghiệm
784516,QUẢN LÝ ĐƠN HÀNG,CN 11- KCN KHAI QUANG - VĨNH YÊN - VĨNH PHÚC,Vĩnh Phúc,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Quản lý đơn hàng, Thống kê",nhân viên theo dõi đơn hàng,1 - 2 năm kinh nghiệm
784515,Nhân viên Hành chính Nhân sự Tổng hợp,"Tầng 7, P701, Tòa nhà Machinco, số 10 Trần Phú, Hà Đông, Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Hành chính - Văn phòng, Nhân sự",nhân sự tổng hợp,Không yêu cầu
784514,"Tuyển dụng 30 NV Tư vấn, Thử việc 5 Triệu, ở Quận 2, Chi tiết Phỏng Vấn",78 đường B2 Khu sala Quận 2,Hồ Chí Minh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,KD bất động sản,môi giới nhà phố,Không yêu cầu
784513,Việc làm thêm cho học sinh lao động phổ thông lương 9 triệu 1 tháng làm theo giờ có thể làm thêm buổi tối,Quận Mười Hai Thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Bán thời gian,"Lao động phổ thông, Y tế - Dược, Sinh viên làm thêm",Công Nhân,Không yêu cầu
784512,NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG - KHAI THÁC NGUỒN HÀNG BĐS CHUYỂN NHƯỢNG THU NHẬP TRÊN 10 TRIỆU TẠI QUẬN 2,Chung cư La Astoria 3 - Quận 2 - TPHCM,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"KD bất động sản, Nhân viên kinh doanh, Chăm sóc khách hàng",chuyên viên tư vấn bất động sản,Không yêu cầu
784511,Kế toán Trưởng Hồ Chí Minh,"51-53-55 Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",Hồ Chí Minh,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,Kế toán - Kiểm toán,kế toán nội bộ,2 - 5 năm kinh nghiệm
784510,TRƯỞNG NHÓM NGHIÊN CỨU THỊ TRƯỜNG,"Toà C Hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Trưởng nhóm,10 - 15 triệu,Toàn thời gian cố định,"Giáo dục - Đào tạo, Quản trị kinh doanh",Trưởng Nhóm Kinh Doanh,1 - 2 năm kinh nghiệm
784509,Kế toán Trưởng Hà Nội,"13B Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, thành phố Hà Nội",Hà Nội,Trưởng Phòng,10 - 15 triệu,Toàn thời gian cố định,Kế toán - Kiểm toán,kế toán trưởng lương cao,2 - 5 năm kinh nghiệm
784508,TRỢ LÝ HỘI ĐỒNG QUẢN TRỊ VÀ BAN GĐ,"155/4 Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Thành phố Hồ Chí Minh",Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Thư ký - Trợ lý, Hành chính - Văn phòng",kế toán trưởng lương cao,1 - 2 năm kinh nghiệm
784507,Content marketing,L08-L16 khu A khu đô thị Dương Nội La Khê Hà Đông,Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Marketing - PR,seo leader,1 - 2 năm kinh nghiệm
784506,Nhân viên Hành Chính – Nhân sự,"13B Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, thành phố Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân sự, Hành chính - Văn phòng",nhân viên hành chính nhân sự,1 - 2 năm kinh nghiệm
784505,Trưởng phòng tư vấn tuyển sinh,"Tầng 3 toà C Hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,Giáo dục - Đào tạo,Trưởng Phòng Tuyển Sinh,1 - 2 năm kinh nghiệm
784504,NHÂN VIÊN KINH DOANH QUỐC TẾ,"K03-18T2, CT15 KĐT Việt Hưng, Long Biên, Hà Nội",Hà Nội,Nhân viên,Thỏa thuận,Toàn thời gian cố định,Xuất - nhập khẩu,Nhân Viên Kinh Doanh Xuất Nhập Khẩu,0 - 1 năm kinh nghiệm
784503,kế toán trưởng,Đường N2 Khu A Khu Công Nghiệp Thọ Lộc Diễn Lộc Diễn Châu Nghệ An,Nghệ An,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,"Kế toán - Kiểm toán, Quản lý điều hành",kế toán quản trị,2 - 5 năm kinh nghiệm
784502,Sales Man,06 Nguyễn Hoàng,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,nhân viên phát triển kinh doanh,Không yêu cầu
784501,Nhân Viên Kinh Doanh,3/1 Thành Thái Phường 14 Quận 10 TpHCM,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,Nhân Viên Sale Online,1 - 2 năm kinh nghiệm
784500,Nhân Viên Tư Vấn Dịch Vụ Trên Sim Viettel - Quận 12 HCM,"Số 01, LÔ B, Chung Cư Besco , Quốc Lộ 1A , Phường Trung Mỹ Tây, Quận 12 ( ngay chân cầu vượt An Sương)",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Tư vấn, Telesales",telesale bảo hiểm,Không yêu cầu
784499,NHÂN VIÊN TELESALE,"- Số 88 Đường N1, P. Sơn Kỳ, Q. Tân Phú (D15.13 EMERALD, Chung Cư CELADON CITY )",Hồ Chí Minh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"Chăm sóc khách hàng, Tiếp thị - Quảng cáo, Telesales",nhân viên chăm sóc khách hàng,0 - 1 năm kinh nghiệm
784498,Nhân viên kinh doanh 2 người nhân viên kỹ thuật PCCC 1 người nhân viên Vật tư 1 người,Ngõ 55 Lê Lai Hà Cầu Hà Đông Hà Nội,Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Quản trị kinh doanh,cử nhân quản trị kinh doanh,1 - 2 năm kinh nghiệm
784497,Nhân viên tư vấn,"Tầng 3 toà C hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Giáo dục - Đào tạo,quản lý giáo dục,0 - 1 năm kinh nghiệm
784496,Nhân viên Sales Representative nhóm hàng thực phẩm nhập khẩu,329 trần hưng đạo phường cô giang quận 1,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Việc làm bán hàng, Xuất - nhập khẩu",Nhân Viên Kinh Doanh Hàng Tiêu Dùng,Không yêu cầu
784495,NHÂN VIÊN THIẾT KẾ,"18A Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Mới Tốt Nghiệp,5 - 7 triệu,Toàn thời gian cố định,"Môi trường - Xử lý chất thải, Điện - Điện tử, Điện tử viễn thông",kỹ sư mạng viễn thông,Không yêu cầu
784494,Sale Admin,"51-53-55 Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Khách sạn - Nhà hàng, Hành chính - Văn phòng, Việc làm bán hàng",Sale Khách Sạn,1 - 2 năm kinh nghiệm
784493,CHUYÊN VIÊN TUYỂN DỤNG,141 Nguyễn Du Phường Bến Thành Quận 1,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Nhân sự, Ngân hàng - Chứng khoán - Đầu tư",chuyên viên tư vấn tuyển dụng,2 - 5 năm kinh nghiệm
784492,Kỹ Sư Lập Trình Java – Quản Lý Hệ Thống ERP (Java Developer),"Số 23, Đường số 30, Khu phố 2, Phường Cát Lái, Quận 2, TP. HCM.",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,IT phần mềm,java developer,0 - 1 năm kinh nghiệm
784491,LUẬT SƯ,KCN Hải Sơn Ấp Bình Tiền 2 Xã Đức Hòa Hạ Đức Hòa Long An,Long An,Quản lý cấp trung,Thỏa thuận,Toàn thời gian cố định,Luật - Pháp lý,luật sư,1 - 2 năm kinh nghiệm
784490,Nhân viên Marketing Digital Marketing SEO,Remote Working,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"IT Phần cứng - mạng, IT phần mềm, Marketing - PR",nhân viên marketing,1 - 2 năm kinh nghiệm
784489,Công ty Hưng Phúc tuyển nhân viên kinh doanh,MG2-17 Lê Duẩn TP Tây Ninh,Tây Ninh,Nhân viên,3 - 5 triệu,Toàn thời gian cố định,KD bất động sản,tư vấn bất động sản,Không yêu cầu
784488,TUYỂN KỸ SƯ KẾT CẤU,"147/62 Tân kỳ tân quý, P. Tân sơn nhì, Q. Tân phú, HCM",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Xây dựng,kỹ thuật xây dựng,1 - 2 năm kinh nghiệm
784487,Nhân viên Social Marketing,Số 4 đường số 9 Khu dân cư Cityland Park Hill Phường 1 Gò Vấp Tp Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Marketing - PR,social media,1 - 2 năm kinh nghiệm
784486,Nhân viên kinh doanh,Số 6 ngõ 4 phố Xốm quận Hà Đông,Hà Nội,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Vật tư - Thiết bị, Truyền thông",nhân viên kinh doanh truyền thông,1 - 2 năm kinh nghiệm
784485,TUYỂN CÔNG NHÂN,Ấp An Thái - Xã An Cư - Huyện Cái Bè - Tỉnh Tiền Giang,Tiền Giang,Nhân viên,5 - 7 triệu,Hợp đồng,Dệt may - Da giày,qa qc ngành may,Không yêu cầu
784484,"TUYỂN NHÂN VIÊN KỸ THUẬT ĐIỆN TỬ - ƯU TIÊN SINH VIÊN THỰC TẬP , SINH VIÊN MỚI RA TRƯỜNG","63 NGÔ BỆ P.13 , Q. TÂN BÌNH",Hồ Chí Minh,Mới Tốt Nghiệp,Thỏa thuận,Toàn thời gian cố định,Điện - Điện tử,qa qc ngành may,Không yêu cầu
784483,Nhân viên thiết kế 3D - Lĩnh vực Agency,Đường Nguyễn Công Hoan - Quận Phú Nhuận - TPHCM,Hồ Chí Minh,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Marketing - PR, Tiếp thị - Quảng cáo, Truyền thông",Thiết Kế Poster,1 - 2 năm kinh nghiệm
784482,Nhân viên sale,06 Nguyễn Hoàng,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,nhân viên kinh doanh quảng cáo,Không yêu cầu
784481,[Hà Nội] tuyển Nhân viên kinh doanh,Số 256 Ngõ 143 Đường Nguyễn Chính – Thịnh Liệt – Hoàng Mai - HN,Hà Nội,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Nhân viên kinh doanh, Phát triển thị trường, Việc làm bán hàng",nhân viên kinh doanh quảng cáo,0 - 1 năm kinh nghiệm
784480,Nhân Viên May Mẫu ( Thu nhập 8 - 12 tr ),31A Nguyễn Quốc Trị Trung Hòa Cầu Giấy Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Dệt may - Da giày, Mỹ phẩm - Thời trang - Trang sức, Thiết kế - Mỹ thuật",thợ may mẫu,2 - 5 năm kinh nghiệm
784479,HR Executive,Lầu 16 The Manor 2 - 91 Nguyễn Hữu Cảnh Quận Bình Thạnh TPHCM,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhân sự,nhân viên tuyển dụng,1 - 2 năm kinh nghiệm
784478,Nhân viên thiết kế 2D - Lĩnh vực Agency,Đường Nguyễn Công Hoan - Quận Phú Nhuận - TPHCM,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Marketing - PR, Tiếp thị - Quảng cáo, Truyền thông",Nhân Viên Thiết Kế Quảng Cáo,1 - 2 năm kinh nghiệm
784477,NHÂN VIÊN THƯƠNG MẠI ĐIỆN TỬ,"71 Đỗ Quang, Cầu Giấy",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Y tế - Dược",chuyên viên kinh doanh,0 - 1 năm kinh nghiệm
784476,NHÂN VIÊN MUA HÀNG VÀ XUẤT NHẬP KHẨU,Phòng 0909 Tầng 9 Tòa HPC Landmark Tố Hữu-La Khê-Hà Đông-Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Xuất - nhập khẩu, Logistic, Ngành nghề khác",nhân viên thu mua xuất nhập khẩu,1 - 2 năm kinh nghiệm
784475,Nhân viên Kỹ thuật điện Công Nghiệp (CN),"Lô III-18, Đường CN13 Kcn Tân Bình, Quận Tân Phú, HCM",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Bảo trì, Điện - Điện tử, Cơ khí - Chế tạo",bảo trì cơ điện,1 - 2 năm kinh nghiệm
784474,CHUYÊN VIÊN TƯ VẤN BĐS,06 Nguyễn Hoàng,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,nhân viên kinh doanh không cần kinh nghiệm,Không yêu cầu
784473,Nhân viên SEO Youtube,số 110 Linh Lang Ba Đình Cống Vị Hà Nội,Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Truyền thông, Marketing - PR",nhân viên truyền thông,0 - 1 năm kinh nghiệm
784472,Nhân viên kinh doanh BĐS Nhận việc ngay,Quận 1 HCM,Hồ Chí Minh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,KD bất động sản,sale căn hộ,Không yêu cầu
784471,NHÂN VIÊN QUẢN TRỊ WEBSITE (Website Administration),"60/26 Yên thế, Phường 2, Quận Tân Bình.",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Thiết kế web, IT phần mềm, Marketing - PR",Biên tập viên Website,0 - 1 năm kinh nghiệm
784470,Nhân viên HCNS,KCN Tân Bình Tân Phú HCM,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân sự, Hành chính - Văn phòng",chuyên viên nhân sự,2 - 5 năm kinh nghiệm
784469,Nhân viên lưu trữ sổ sách,"110 Đường D1, phường Tân Đông Hiệp , Dĩ An , Bình Dương",Bình Dương,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Nhập liệu,nhân viên nhập liệu chứng từ,0 - 1 năm kinh nghiệm
784468,Nữ bán hàng tận nhà,220/28 Nguyễn xí Bình Thạnh,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Chăm sóc khách hàng, Việc làm bán hàng",nhân viên bán vàng,Không yêu cầu
784467,NHÂN VIÊN KINH DOANH (MẢNG MARKETING ONLINE),35 Chùa Láng,Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Marketing - PR, Phát triển thị trường",brand marketing,0 - 1 năm kinh nghiệm
784466,Nhân viên bảo trì làm việc tại TPHCM,"1C KCN3, đường CN 10, KCN Tân Bình, Phường Tây thạnh , Quận Tân Phú",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Bảo trì,nhân viên bảo trì máy,1 - 2 năm kinh nghiệm
784465,KẾ TOÁN TỔNG HỢP (12-15 triệu),2,Hồ Chí Minh,Phó phòng,10 - 15 triệu,Toàn thời gian cố định,"Kế toán - Kiểm toán, Thống kê",kế toán tổng hợp,1 - 2 năm kinh nghiệm
784464,TUYỂN GẤP KỸ SƯ XÂY DỰNG - KHÔNG YÊU CẦU KINH NGHIỆM,"Tầng 2, lô D, khu văn phòng, tòa nhà Lexington, 67 Mai Chí Thọ, Phường An Phú, Tp Thủ Đức, Tp HCM",Hồ Chí Minh,Mới Tốt Nghiệp,10 - 15 triệu,Toàn thời gian cố định,"Xây dựng, Kỹ thuật",Kỹ Sư Xây Dựng Mới Ra Trường,Không yêu cầu
784463,THỰC TẬP SINH,"20 Nguyễn Cơ Thạch, P. An Lợi Đông",Hồ Chí Minh,Thực tập sinh,1 - 3 triệu,Toàn thời gian cố định,Kiến trúc - Tk nội thất,nhân viên thiết kế nội ngoại thất,Không yêu cầu
784462,Nhân Viên Tư Vấn Visa Nhập Cảnh,339 Nguyễn Kiệm Phú Nhuận HCM,Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Dịch vụ, Tư vấn, Ngành nghề khác",nhân viên dịch vụ khách hàng,0 - 1 năm kinh nghiệm
784461,CHUYÊN VIÊN NGHIÊN CỨU VÀ PHÁT TRIỂN SẢN PHẨM (R D),"13-14 D1 KDT Đại Kim, Hồng Quang, Hoàng Mai, Hà Nội",Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Y tế - Dược, Quản trị kinh doanh",dược sĩ nghiên cứu,1 - 2 năm kinh nghiệm
784460,TUYỂN DỤNG KIẾN TRÚC SƯ KHÔNG YÊU CẦU KINH NGHIỆM,"67 Mai Chí Thọ, phường An Phú, TP Thủ Đức, TP HCM",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Kiến trúc - Tk nội thất, Thiết kế - Mỹ thuật, Xây dựng",kiến trúc sư,Không yêu cầu
784459,CẦN TUYỂN GẤP 3 NHÂN VIÊN VĂN PHÒNG ĐI LÀM NGAY,379/2a D1 Thị Xã Dĩ An Bình Dương,Bình Dương,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Ngành nghề khác, Lao động phổ thông, Y tế - Dược",nhân viên sản xuất dược phẩm,Không yêu cầu
784458,CẦN TUYỂN GẤP 3 NHÂN VIÊN VĂN PHÒNG ĐI LÀM NGAY,379/2a D1 Thị Xã Dĩ An Bình Dương,Bình Dương,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Ngành nghề khác, Lao động phổ thông, Y tế - Dược",nhân viên sản xuất dược phẩm,Không yêu cầu
784457,Việc làm cho học sinh hè online thêm buổi tối Lương 9 triệu tháng Không Cần bằng cấp,Quận Sáu thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Bán thời gian,"Nông - Lâm - Ngư - Nghiệp, Xây dựng, Sinh viên làm thêm",sinh viên xây dựng làm thêm,Không yêu cầu
