Id tin,Tiêu đề tin,Địa điểm tuyển dụng,Tỉnh thành tuyển dụng,Chức vụ,Mức lương,Hình thức làm việc,Ngành nghề,Lĩnh vực,Kinh nghiệm
780770,Tuyển dụng kỹ sư phòng cháy chữa cháy,P105A1 Vĩnh Hồ Đống Đa Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Kỹ thuật, Xây dựng, Giao thông vận tải - Thủy lợi - Cầu đường",cán bộ kỹ thuật hiện trường,1 - 2 năm kinh nghiệm
780769,NHÂN VIÊN BÁN HÀNG SHOWROOM HẢI PHÒNG,51 Hoàng Văn Thụ Hải Phòng,Hải Phòng,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Tiếp thị - Quảng cáo, Mỹ phẩm - Thời trang - Trang sức",Kinh Doanh Thời Trang,Không yêu cầu
780768,Nhân Viên Kinh Doanh,41-43 Trần Cao Vân Phường 6 Quận 3 TPHCM,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Ô tô - xe máy,chăm sóc xe hơi,1 - 2 năm kinh nghiệm
780767,Nhân Viên Chăm Sóc Khách Hàng,23 Trần Phú Nối Dài - TP Pleiku - Gia Lai,Gia Lai,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Chăm sóc khách hàng, Nhân viên kinh doanh, Tư vấn",chăm sóc xe hơi,Không yêu cầu
780766,Nhân viên chăm sóc khách hàng,"Tầng 9, tòa TNR tower số 54A Nguyễn Chí Thanh, p Láng Thượng, q Đống Đa, tp Hà Nội, Việt Nam",Hà Nội,Nhân viên,7 - 10 triệu,Khác,"Tài chính, Nhân viên kinh doanh, Chăm sóc khách hàng",chuyên viên kinh doanh,0 - 1 năm kinh nghiệm
780764,Digital Marketing,23 Trần Phú Nối Dài - TP Pleiku - Gia Lai,Gia Lai,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Thiết kế - Mỹ thuật, Thiết kế web, Marketing - PR",chuyên viên kinh doanh,Không yêu cầu
780763,Nhân viên Kinh doanh Bất động sản,"Tầng 3, số 164 Trần Phú, Cẩm Tây, Cẩm Phả, Quảng Ninh",Quảng Ninh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,KD bất động sản,tư vấn bất động sản,Không yêu cầu
780762,Kỹ Thuật Viên Spa,số 195 Kim Hoa,Hà Nội,Nhân viên,7 - 10 triệu,Hợp đồng,Làm đẹp - Thể lực - Spa,nhân viên spa chưa biết nghề,Không yêu cầu
780761,nhân viên kinh doanh,283 đường hùng vương phường 9 quận 5 Tp HCM,Hồ Chí Minh,Nhân viên,Trên 30 triệu,Toàn thời gian cố định,KD bất động sản,chuyên viên tư vấn bất động sản,Không yêu cầu
780760,Telesales - Chăm Sóc Khách Hàng,275 Nguyễn Văn Đậu phường 11 quận Bình Thạnh,Hồ Chí Minh,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"KD bất động sản, Telesales, Chăm sóc khách hàng",chuyên viên kinh doanh bất động sản,0 - 1 năm kinh nghiệm
