product_id,title,authors,category,pages,manufacturer
69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,Sách tư duy - Kỹ năng sống,276,Nhà Xuất Bản Hà Nội
143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,Sách tư duy - Kỹ năng sống,224,Nhà Xuất Bản Thế Giới
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,Sách kinh tế học,559,Nhà Xuất Bản Phụ Nữ
124767703,Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản),Richard Nicholls,Sách tư duy - Kỹ năng sống,336,Nhà Xuất Bản Thế Giới
46240929,Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,Sách tư duy - Kỹ năng sống,204,Nhà Xuất Bản Phụ Nữ
205033951,Một chỗ trong đời,Annie Ernaux,Tác phẩm kinh điển,98,Nhà Xuất Bản Hội Nhà Văn
77105730,Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,Tiểu Thuyết,286,Nhà Xuất Bản Văn Học
52805060,Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),William Golding,Tác phẩm kinh điển,326,Nhà Xuất Bản Văn Học
188695904,GIẬN (TBL22),Thích Nhất Hạnh,GIẬN (TBL22),248,Nhà Xuất Bản Thế Giới
77105730,Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,Tiểu Thuyết,286,Nhà Xuất Bản Văn Học
145288026,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,Truyện ngắn - Tản văn - Tạp Văn,396,Nhà Xuất Bản Dân Trí
52329763,Kafka bên bờ biển (Tái Bản 2020),Haruki Murakami,Tiểu Thuyết,530,Nhà Xuất Bản Hội Nhà Văn
161008715,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,Kiến Thức Bách Khoa,398,Nhà Xuất Bản Thế Giới
68585576,"Càng Kỷ Luật, Càng Tự Do",Ca Tây,Sách tư duy - Kỹ năng sống,288,Nhà Xuất Bản Thế Giới
195801692,Chuyện Con Mèo Lập Kèo Cứu Sách,Natsukawa Sosuke,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,256,Nhà Xuất Bản Hà Nội
157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,Sách Học Tiếng Anh,560,Nhà Xuất Bản Đà Nẵng
174444163,"Dear, Darling",Hiên,Truyện ngắn - Tản văn - Tạp Văn,200,Nhà Xuất Bản Phụ Nữ Việt Nam
120509490,Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),Vũ Bằng,Truyện ngắn - Tản văn - Tạp Văn,344,Nhà Xuất Bản Hội Nhà Văn
11122712,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,William J. O’Neil,"Sách tài chính, tiền tệ",1044,Nhà Xuất Bản Thế Giới
120219394,Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,Truyện ngắn - Tản văn - Tạp Văn,235,Nhà Xuất Bản Hội Nhà Văn
107802183,Sức Mạnh Tiềm Thức (Tái Bản),Joseph Murphyc,Sách tư duy - Kỹ năng sống,336,Nhà Xuất Bản Tổng hợp TP.HCM
147999778,Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Chung Ju Yung,Bài học kinh doanh,512,Nhà Xuất Bản Dân Trí
153045603,Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản),Donna M. Genett,Sách kỹ năng làm việc,116,Nhà Xuất Bản Tổng hợp TP.HCM
203957925,Monster #8 - Tập 6,Naoya Matsumoto,Monster #8 - Tập 6,188,Nhà Xuất Bản Hồng Đức
174842858,Sức Mạnh Của Ngôn Từ (Tái Bản 2022),Don Gabor,Sách nghệ thuật sống đẹp,312,Nhà Xuất Bản Tổng hợp TP.HCM
207475540,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],Kaito,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],244,Nhà Xuất Bản Kim Đồng
50414368,Án Mạng Mười Một Chữ,Higashino Keigo,Truyện trinh thám,260,Nhà Xuất Bản Hà Nội
50072452,Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2020),Diana Wynne Jones,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,400,Nhà Xuất Bản Hội Nhà Văn
184419723,Sapiens Lược Sử Loài Người (Tái Bản 2022),Yuval Noah Harari,Lịch Sử Thế Giới,600,Nhà Xuất Bản Tri Thức
199692508,"Basic Economics: Kinh tế học cơ bản, a bờ cờ, kinh tế học nhập môn cho nhà đầu tư",Thomas Sowell,"Sách tài chính, tiền tệ",750,Nhà Xuất Bản Thế Giới
